MARKETS,mean,std,Coefficient_of_Variation
connecticut,27.702664552829354,132.6572224565881,478.8608770958079
florida,355.6647940596065,1383.8842717089315,389.09790758682846
illinois,245.17201463502357,1000.6614357838946,408.14667908714364
